case_id,family,section,n1,n2,tc_target,x_tmax_target,te_target,tc_max,x_tmax,te_thickness,max_camber,area,t_xc_0.20,t_xc_0.30,t_xc_0.40,t_xc_0.50,t_xc_0.60,t_xc_0.70
baseline,baseline,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014730092026239469,0.1355575225689691,0.20681542398292688,0.22890045182740848,0.22362609814737686,0.19557073057672947,0.15125626416630247,0.09987087554691813
nclass_000,nclass,c1,0.42,0.85,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.01720073346031823,0.1399276379164089,0.2093658938434742,0.22901960820388845,0.22426728600102017,0.1986219617406053,0.15704409195433458,0.10715620316055151
nclass_001,nclass,c1,0.42,0.9375,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.016803929057776994,0.13839987627516936,0.20879492910224826,0.2289912712292255,0.22409838743093075,0.19770486402061113,0.15502434889873298,0.10417682208451719
nclass_002,nclass,c1,0.42,1.025,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.016429616965153104,0.13695352140150222,0.20822405456850154,0.22896296323213827,0.22393064829344242,0.1968014849858057,0.15305639670111487,0.10132107497292167
nclass_003,nclass,c1,0.42,1.1124999999999998,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.016076467415544485,0.1355794747064322,0.20765345766364365,0.22893465775234673,0.22376377454955895,0.19590984351458682,0.15113501798634268,0.09857828567257032
nclass_004,nclass,c1,0.42,1.2,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.015742243567092716,0.13427019031472556,0.20708348524214273,0.22890634043440125,0.22359754842755294,0.19502834984737724,0.14925585841555203,0.09593930935608513
nclass_005,nclass,c1,0.47,0.85,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.016031000174702485,0.13880943087896097,0.20839666661287962,0.22897666449191767,0.22405494817836372,0.1977299039822437,0.15563012607452176,0.10579764044336064
nclass_006,nclass,c1,0.47,0.9375,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.015637114319676168,0.13724527888801993,0.20780008080228018,0.22894672771431696,0.2238761555769024,0.19676484251656892,0.15352779387734092,0.10273475467484902
nclass_007,nclass,c1,0.47,1.025,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.015265933282726747,0.13576707714039296,0.20720545221895953,0.22891693239699573,0.22369916791520103,0.19581664603335508,0.15148364201490705,0.09980477877645483
nclass_008,nclass,c1,0.47,1.1124999999999998,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.014915379538606596,0.1343650939940853,0.20661258771596258,0.22888723669759783,0.22352363609829054,0.19488314676397422,0.14949211688466346,0.09699640030604403
nclass_009,nclass,c1,0.47,1.2,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014583698625828673,0.13303123828887845,0.20602149498304764,0.22885761164462148,0.22334928493637676,0.19396255095698972,0.14754850189271873,0.09429984152306872
nclass_010,nclass,c1,0.52,0.85,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014979685878219115,0.13785737858385794,0.20752527025688688,0.22893859786938764,0.22387037748786623,0.19697188815954844,0.15445970379671561,0.10471110628086182
nclass_011,nclass,c1,0.52,0.9375,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014590195020799328,0.13625815715111889,0.20690266249848135,0.22890706894530002,0.2236820175799879,0.1959616638202681,0.1522809519230736,0.10157075923834284
nclass_012,nclass,c1,0.52,1.025,0.23,0.33,0.002,0.23000000000000004,0.3276785384127415,0.002,0.01422314251318458,0.13474915446288616,0.2062839269308904,0.22887578504137374,0.2234960253145239,0.19497097671438604,0.15016584395826554,0.09857145043538999
nclass_013,nclass,c1,0.52,1.1124999999999998,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.013876622678719107,0.13332005916210488,0.20566855087310326,0.22884469269886842,0.2233120128453731,0.19399753154532867,0.14810857379921563,0.09570132722866478
nclass_014,nclass,c1,0.52,1.2,0.23,0.33,0.002,0.22999999999999995,0.3276785384127415,0.002,0.013548899580015303,0.13196228168573107,0.20505625280874135,0.2288137522552492,0.22312966184976984,0.19303938839300114,0.14610414905627248,0.09295007834198465
nclass_015,nclass,c1,0.5700000000000001,0.85,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.01402996465668438,0.13704084846772382,0.20673945114256023,0.22890474124751437,0.22370922562776105,0.19632413105774923,0.1534849043263762,0.10383846683308948
nclass_016,nclass,c1,0.5700000000000001,0.9375,0.23,0.33,0.002,0.23000000000000004,0.3276785384127415,0.002,0.013645771717926518,0.13540772622878613,0.2060906610759369,0.2288716438857231,0.22351167995172735,0.19527147800857453,0.15123527342939552,0.10062584789763676
nclass_017,nclass,c1,0.5700000000000001,1.025,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.013283892779706999,0.13386885856060346,0.20544763627323254,0.2288388860078372,0.22331699010202102,0.19424064841996092,0.14905402815199154,0.09756151347742167
nclass_018,nclass,c1,0.5700000000000001,1.1124999999999998,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.012942435701504051,0.13241339469337285,0.20480959909983212,0.22880640594378313,0.22312473918546227,0.1932292541133823,0.1469351582269313,0.09463313069981542
nclass_019,nclass,c1,0.5700000000000001,1.2,0.23,0.33,0.002,0.23000000000000004,0.3276785384127415,0.002,0.012619679249058623,0.13103228387897045,0.20417601734878987,0.2287741549447038,0.2229345792964953,0.19223525386915916,0.14487345862829556,0.09182992754796622
nclass_020,nclass,c1,0.62,0.85,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.013168162402696387,0.13633667083120304,0.2060289907103617,0.22887454357620973,0.22356801130529308,0.19576821080989287,0.15266971727998851,0.10313716141986815
nclass_021,nclass,c1,0.62,0.9375,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.012790025348986073,0.13467069131045978,0.20535406328359668,0.22883991267008486,0.22336168275213564,0.19467571263681413,0.1503541320270467,0.09985672227741052
nclass_022,nclass,c1,0.62,1.025,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.01243406588260619,0.13310280382164363,0.20468673313399807,0.2288057070454714,0.22315863344718925,0.1936070111833546,0.14811110567221833,0.09673112329375226
nclass_023,nclass,c1,0.62,1.1124999999999998,0.23,0.33,0.002,0.23000000000000004,0.3276785384127415,0.002,0.012098402754216822,0.13162165056239722,0.20402599575169073,0.2287718578105806,0.22295842775120175,0.19255965458965005,0.14593446219999806,0.09374759886322298
nclass_024,nclass,c1,0.62,1.2,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.011781326835515082,0.13021774807513425,0.20337110752737558,0.22873830959878141,0.22276069490207834,0.19153152462826364,0.14381881883918907,0.09089496094534741
coeff_upper_0_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999995,0.3276785384127415,0.002,0.012589026328226144,0.13474697057853804,0.20609277350749183,0.22885980054601224,0.22339953507375615,0.194550421757513,0.14955296616026648,0.09812759215642501
coeff_upper_0_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.017796896606091066,0.1362534485809042,0.2073482614205115,0.2289346209136705,0.2238313719576607,0.19654425287895078,0.1529454221022493,0.10165154765110769
coeff_upper_1_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.0106261304069383,0.1369308131596688,0.20825022042519706,0.2289670777031139,0.22394985180736296,0.19687029353879726,0.15321434325112554,0.10170783848626665
coeff_upper_1_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.018864660843030415,0.13425261198820188,0.20547665407172333,0.22883719635446786,0.22331422332809198,0.19430288143913954,0.14932449642264492,0.09804140811895168
coeff_upper_2_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999995,0.3276785384127415,0.002,0.01253867216369145,0.1361196759035954,0.20660442079025224,0.2289040491810086,0.2237188550959337,0.1963121416863521,0.15306659311413154,0.1023723536403617
coeff_upper_2_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.017544058277426097,0.13492126427080467,0.20685105002204984,0.22888852505941262,0.2234959875576689,0.19471158890042517,0.1493539339166554,0.09740488727498246
coeff_upper_3_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014259409515241267,0.13489200916113267,0.2063111234211453,0.22887303382914123,0.22346652003801082,0.19480837404791831,0.1499318457740749,0.09854724321389327
coeff_upper_3_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.015321259794285898,0.13618916992423663,0.20732189153456454,0.2289274382702229,0.22378004145023245,0.19629155811377316,0.15248236231385484,0.10106522253216568
coeff_upper_4_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014697002825375297,0.13519644714587298,0.2067411369040335,0.22889543425797387,0.22358822364119593,0.195326361775215,0.1506511419200349,0.0989238919110797
coeff_upper_4_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014764452036837211,0.1359183990649791,0.2068902731304648,0.22890549959924866,0.22366412908288064,0.19581567299845176,0.15186174556463786,0.10081683310229315
coeff_upper_5_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014729292667811297,0.1354758290874139,0.20681242087135007,0.2289002167856564,0.22362390970573598,0.19555232832811045,0.1511935082900296,0.09972579455829923
