gemseo_variable,size,project_parameters,units,normalization,description,lower_bounds,reference,upper_bounds
span,1,['span'],m,absolute,Half-span of the aircraft.,[35.0],[39.5],[45.0]
b_span_weights,3,"['b1_span_ratio', 'b2_span_ratio', 'b3_span_ratio']",-,normalized to sum 1.0 in adapter,Positive topology weights mapped to B1/B2/B3 semi-span ratios.,"[0.16, 0.09, 0.6]","[0.18, 0.12, 0.7]","[0.24, 0.16, 0.75]"
c1_root_chord,1,['c1_root_chord'],m,absolute,Root chord.,[36.0],[40.0],[44.0]
chord_ratios,3,"['c2_c1_ratio', 'c3_c1_ratio', 'c4_c1_ratio']",-,ratio to C1,"Chord ratios of sections C2, C3 and C4.","[0.55, 0.18, 0.06]","[0.7, 0.23, 0.08]","[0.85, 0.28, 0.09]"
sweeps_deg,3,"['s1_deg', 's2_deg', 's3_deg']",deg,angle,"Leading-edge sweep angles S1, S2 and S3.","[40.0, 40.0, 24.0]","[58.0, 50.0, 32.0]","[60.0, 60.0, 40.0]"
nose_blend_y,1,['nose_blend_y'],m,absolute,Root nose blending length.,[1.5],[2.5],[4.0]
twist_deg,4,"['twist_c1_deg', 'twist_c2_deg', 'twist_c3_deg', 'twist_c4_deg']",deg,angle,Twist angles at sections C1 to C4.,"[-1.0, -1.5, -4.0, -7.0]","[0.0, 0.0, -1.0, -3.0]","[1.0, 1.0, 0.0, -0.5]"
c1_upper_cst,6,"['c1_upper_cst_0', 'c1_upper_cst_1', 'c1_upper_cst_2', 'c1_upper_cst_3', 'c1_upper_cst_4', 'c1_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of section C1.,"[0.33092411756686263, 0.2734719202939269, 0.2578307107516849, 0.12274332584422537, 0.040435842755671074, 0.006095057016453909]","[0.3505703583206222, 0.36338040481618206, 0.33305734163683837, 0.20378994959426566, 0.0809508165381431, 0.05]","[0.3702165990743818, 0.4532888893384372, 0.40828397252199183, 0.28483657334430595, 0.12146579032061511, 0.0939049429835461]"
c1_lower_cst,6,"['c1_lower_cst_0', 'c1_lower_cst_1', 'c1_lower_cst_2', 'c1_lower_cst_3', 'c1_lower_cst_4', 'c1_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of section C1.,"[0.12095206491795579, 0.015271612599273524, 0.021446923632387566, 0.00264932412351232, 0.014032195393535174, 0.0]","[0.14059830567171536, 0.1051800971215292, 0.09667355451753944, 0.08369594787354795, 0.05454716917600809, 0.01]","[0.16024454642547492, 0.1950885816437849, 0.1719001854026913, 0.16474257162358358, 0.095062142958481, 0.05390494298354619]"
c2_upper_cst,6,"['c2_upper_cst_0', 'c2_upper_cst_1', 'c2_upper_cst_2', 'c2_upper_cst_3', 'c2_upper_cst_4', 'c2_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of section C2.,"[0.25481714444402936, 0.1965916326092718, 0.1986767158884259, 0.08982691028907647, 0.02627125098774704, 0.0]","[0.2744633851977888, 0.2865001171315305, 0.2739033467735769, 0.17087353403911076, 0.06678622477022139, 0.04]","[0.2941096259515482, 0.3764086016537892, 0.34912997765872794, 0.25192015778914506, 0.10730119855269574, 0.08390494298354628]"
c2_lower_cst,6,"['c2_lower_cst_0', 'c2_lower_cst_1', 'c2_lower_cst_2', 'c2_lower_cst_3', 'c2_lower_cst_4', 'c2_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of section C2.,"[0.09813977387372558, 0.0, 0.005514033450868622, 0.0, 0.00416234069168301, 0.0]","[0.11778601462748521, 0.08738599041659881, 0.08074066433601852, 0.06999060859088185, 0.04467731447415471, 0.008]","[0.13743225538124484, 0.17729447493885367, 0.15596729522116842, 0.15103723234091698, 0.08519228825662642, 0.05190494298354612]"
c3_upper_cst,6,"['c3_upper_cst_0', 'c3_upper_cst_1', 'c3_upper_cst_2', 'c3_upper_cst_3', 'c3_upper_cst_4', 'c3_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of section C3.,"[0.16130344885714332, 0.09384548063427267, 0.10201089748205953, 0.033611368831401214, 0.0034561796234529804, 0.0]","[0.1771165227729815, 0.1789021217118391, 0.17615134558387913, 0.11229121126131048, 0.04362691385861208, 0.025]","[0.1929295966888197, 0.26395876278940555, 0.2502917936856987, 0.19097105369121975, 0.08379764809377119, 0.06540866841945991]"
c3_lower_cst,6,"['c3_lower_cst_0', 'c3_lower_cst_1', 'c3_lower_cst_2', 'c3_lower_cst_3', 'c3_lower_cst_4', 'c3_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of section C3.,"[0.06213652958388031, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.07794960349971847, 0.05477434654250904, 0.04979025827470704, 0.04405080606494915, 0.027903031526270303, 0.005]","[0.09376267741555663, 0.13983098762007606, 0.12393070637652845, 0.12273064849486076, 0.06807376576143152, 0.045408668419460355]"
c4_upper_cst,6,"['c4_upper_cst_0', 'c4_upper_cst_1', 'c4_upper_cst_2', 'c4_upper_cst_3', 'c4_upper_cst_4', 'c4_upper_cst_5']",-,Bernstein coefficient,Upper CST coefficients of section C4.,"[0.11622745212153966, 0.04692596604697544, 0.062475371104968674, 0.010963775501057482, 0.0, 0.0]","[0.13204052603737756, 0.131982607124543, 0.13661581920678875, 0.0896436179309724, 0.03422887345723429, 0.018]","[0.14785359995321545, 0.21703924820211054, 0.21075626730860883, 0.16832346036088733, 0.07439960769239257, 0.05840866841946035]"
c4_lower_cst,6,"['c4_lower_cst_0', 'c4_lower_cst_1', 'c4_lower_cst_2', 'c4_lower_cst_3', 'c4_lower_cst_4', 'c4_lower_cst_5']",-,Bernstein coefficient,Lower CST coefficients of section C4.,"[0.0401973518151762, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.056010425731014404, 0.036736910979084256, 0.03137859227072081, 0.028562744974141473, 0.019164856377254798, 0.003]","[0.07182349964685261, 0.12179355205665125, 0.10551904037254262, 0.1072425874040539, 0.05933559061241514, 0.04340866841946011]"
