VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=5994
DATAPACKING=POINT
34.304928 0.000000 -39.500000 
34.306594 0.008217 -39.500000 
34.310721 0.016284 -39.500000 
34.317301 0.024180 -39.500000 
34.326325 0.031881 -39.500000 
34.337777 0.039368 -39.500000 
34.351640 0.046620 -39.500000 
34.367892 0.053616 -39.500000 
34.386507 0.060339 -39.500000 
34.407457 0.066769 -39.500000 
34.430708 0.072888 -39.500000 
34.456224 0.078678 -39.500000 
34.483966 0.084121 -39.500000 
34.513889 0.089198 -39.500000 
34.545948 0.093892 -39.500000 
34.580092 0.098184 -39.500000 
34.616269 0.102055 -39.500000 
34.654421 0.105485 -39.500000 
34.694488 0.108454 -39.500000 
34.736410 0.110941 -39.500000 
34.780119 0.112926 -39.500000 
34.825547 0.114388 -39.500000 
34.872624 0.115306 -39.500000 
34.921276 0.115661 -39.500000 
34.971426 0.115433 -39.500000 
35.022998 0.114607 -39.500000 
35.075910 0.113169 -39.500000 
35.130080 0.111108 -39.500000 
35.185424 0.108416 -39.500000 
35.241857 0.105092 -39.500000 
35.299290 0.101137 -39.500000 
35.357637 0.096560 -39.500000 
35.416807 0.091375 -39.500000 
35.476709 0.085600 -39.500000 
35.537253 0.079261 -39.500000 
35.598345 0.072392 -39.500000 
35.659893 0.065029 -39.500000 
35.721805 0.057217 -39.500000 
35.783985 0.049003 -39.500000 
35.846341 0.040440 -39.500000 
35.908779 0.031586 -39.500000 
35.971205 0.022499 -39.500000 
36.033525 0.013241 -39.500000 
36.095645 0.003873 -39.500000 
36.157472 -0.005542 -39.500000 
36.218913 -0.014945 -39.500000 
36.279877 -0.024278 -39.500000 
36.340270 -0.033484 -39.500000 
36.400002 -0.042513 -39.500000 
36.458982 -0.051319 -39.500000 
36.517121 -0.059860 -39.500000 
36.574330 -0.068099 -39.500000 
36.630522 -0.076008 -39.500000 
36.685611 -0.083563 -39.500000 
36.739513 -0.090744 -39.500000 
36.792144 -0.097540 -39.500000 
36.843423 -0.103945 -39.500000 
36.893271 -0.109955 -39.500000 
36.941610 -0.115575 -39.500000 
36.988364 -0.120810 -39.500000 
37.033461 -0.125671 -39.500000 
37.076830 -0.130169 -39.500000 
37.118404 -0.134321 -39.500000 
37.158116 -0.138141 -39.500000 
37.195904 -0.141647 -39.500000 
37.231709 -0.144855 -39.500000 
37.265475 -0.147782 -39.500000 
37.297149 -0.150445 -39.500000 
37.326680 -0.152856 -39.500000 
37.354022 -0.155032 -39.500000 
37.379133 -0.156984 -39.500000 
37.401972 -0.158722 -39.500000 
37.422504 -0.160257 -39.500000 
37.440697 -0.161595 -39.500000 
37.456522 -0.162744 -39.500000 
37.469954 -0.163709 -39.500000 
37.480973 -0.164493 -39.500000 
37.489561 -0.165100 -39.500000 
37.495705 -0.165532 -39.500000 
37.499396 -0.165791 -39.500000 
37.500626 -0.165877 -39.500000 
32.933687 0.000000 -37.305556 
32.935533 0.006055 -37.305556 
32.940204 0.011892 -37.305556 
32.947690 0.017492 -37.305556 
32.957979 0.022836 -37.305556 
32.971056 0.027908 -37.305556 
32.986898 0.032689 -37.305556 
33.005482 0.037165 -37.305556 
33.026778 0.041320 -37.305556 
33.050753 0.045140 -37.305556 
33.077369 0.048615 -37.305556 
33.106584 0.051730 -37.305556 
33.138354 0.054477 -37.305556 
33.172629 0.056843 -37.305556 
33.209355 0.058820 -37.305556 
33.248476 0.060399 -37.305556 
33.289930 0.061569 -37.305556 
33.333653 0.062322 -37.305556 
33.379578 0.062649 -37.305556 
33.427633 0.062539 -37.305556 
33.477743 0.061985 -37.305556 
33.529829 0.060976 -37.305556 
33.583812 0.059505 -37.305556 
33.639607 0.057561 -37.305556 
33.697127 0.055139 -37.305556 
33.756283 0.052231 -37.305556 
33.816983 0.048832 -37.305556 
33.879133 0.044940 -37.305556 
33.942637 0.040555 -37.305556 
34.007395 0.035678 -37.305556 
34.073309 0.030316 -37.305556 
34.140277 0.024478 -37.305556 
34.208196 0.018177 -37.305556 
34.276961 0.011431 -37.305556 
34.346468 0.004260 -37.305556 
34.416610 -0.003308 -37.305556 
34.487281 -0.011245 -37.305556 
34.558372 -0.019516 -37.305556 
34.629777 -0.028083 -37.305556 
34.701386 -0.036906 -37.305556 
34.773092 -0.045941 -37.305556 
34.844786 -0.055143 -37.305556 
34.916361 -0.064465 -37.305556 
34.987707 -0.073860 -37.305556 
35.058718 -0.083278 -37.305556 
35.129286 -0.092675 -37.305556 
35.199304 -0.102004 -37.305556 
35.268667 -0.111221 -37.305556 
35.337269 -0.120287 -37.305556 
35.405006 -0.129163 -37.305556 
35.471776 -0.137816 -37.305556 
35.537477 -0.146216 -37.305556 
35.602007 -0.154336 -37.305556 
35.665269 -0.162156 -37.305556 
35.727165 -0.169659 -37.305556 
35.787600 -0.176830 -37.305556 
35.846480 -0.183662 -37.305556 
35.903714 -0.190150 -37.305556 
35.959214 -0.196290 -37.305556 
36.012892 -0.202085 -37.305556 
36.064667 -0.207538 -37.305556 
36.114455 -0.212655 -37.305556 
36.162181 -0.217443 -37.305556 
36.207768 -0.221911 -37.305556 
36.251147 -0.226068 -37.305556 
36.292248 -0.229924 -37.305556 
36.331006 -0.233488 -37.305556 
36.367363 -0.236769 -37.305556 
36.401259 -0.239777 -37.305556 
36.432643 -0.242520 -37.305556 
36.461465 -0.245004 -37.305556 
36.487679 -0.247236 -37.305556 
36.511245 -0.249222 -37.305556 
36.532126 -0.250965 -37.305556 
36.550290 -0.252470 -37.305556 
36.565707 -0.253740 -37.305556 
36.578354 -0.254776 -37.305556 
36.588211 -0.255580 -37.305556 
36.595263 -0.256154 -37.305556 
36.599498 -0.256498 -37.305556 
36.600911 -0.256613 -37.305556 
31.562446 0.000000 -35.111111 
31.564460 0.004944 -35.111111 
31.569661 0.009607 -35.111111 
31.578039 0.013972 -35.111111 
31.589582 0.018023 -35.111111 
31.604269 0.021744 -35.111111 
31.622079 0.025119 -35.111111 
31.642983 0.028137 -35.111111 
31.666948 0.030784 -35.111111 
31.693936 0.033051 -35.111111 
31.723906 0.034927 -35.111111 
31.756811 0.036406 -35.111111 
31.792599 0.037479 -35.111111 
31.831216 0.038141 -35.111111 
31.872601 0.038387 -35.111111 
31.916690 0.038212 -35.111111 
31.963415 0.037613 -35.111111 
32.012703 0.036585 -35.111111 
32.064479 0.035125 -35.111111 
32.118661 0.033230 -35.111111 
32.175165 0.030897 -35.111111 
32.233905 0.028124 -35.111111 
32.294788 0.024907 -35.111111 
32.357721 0.021244 -35.111111 
32.422606 0.017135 -35.111111 
32.489342 0.012578 -35.111111 
32.557825 0.007573 -35.111111 
32.627950 0.002123 -35.111111 
32.699608 -0.003768 -35.111111 
32.772689 -0.010095 -35.111111 
32.847079 -0.016849 -35.111111 
32.922665 -0.024018 -35.111111 
32.999328 -0.031589 -35.111111 
33.076953 -0.039545 -35.111111 
33.155420 -0.047864 -35.111111 
33.234608 -0.056522 -35.111111 
33.314398 -0.065492 -35.111111 
33.394667 -0.074743 -35.111111 
33.475292 -0.084243 -35.111111 
33.556153 -0.093954 -35.111111 
