VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=3078
DATAPACKING=POINT
0.000000 0.000000 0.000000 
0.015419 0.275248 0.000000 
0.061653 0.549899 -0.000000 
0.138631 0.823321 -0.000000 
0.246233 1.094869 0.000000 
0.384294 1.363888 0.000000 
0.552602 1.629702 0.000000 
0.750895 1.891611 -0.000000 
0.978870 2.148891 0.000000 
1.236173 2.400785 0.000000 
1.522409 2.646507 0.000000 
1.837137 2.885234 -0.000000 
2.179870 3.116115 0.000000 
2.550080 3.338261 0.000000 
2.947197 3.550757 0.000000 
3.370608 3.752664 -0.000000 
3.819660 3.943023 0.000000 
4.293661 4.120868 -0.000000 
4.791881 4.285234 0.000000 
5.313550 4.435169 -0.000000 
5.857864 4.569751 -0.000000 
6.423985 4.688104 -0.000000 
7.011039 4.789412 0.000000 
7.618121 4.872939 -0.000000 
8.244295 4.938050 0.000000 
8.888595 4.984226 0.000000 
9.550029 5.011083 -0.000000 
10.227575 5.018387 0.000000 
10.920190 5.006070 -0.000000 
11.626805 4.974242 -0.000000 
12.346331 4.923196 0.000000 
13.077659 4.853419 -0.000000 
13.819660 4.765587 -0.000000 
14.571191 4.660567 -0.000000 
15.331093 4.539406 -0.000000 
16.098194 4.403324 0.000000 
16.871311 4.253694 0.000000 
17.649252 4.092025 0.000000 
18.430818 3.919940 -0.000000 
19.214804 3.739149 0.000000 
20.000000 3.551424 0.000000 
20.785196 3.358564 -0.000000 
21.569182 3.162375 0.000000 
22.350748 2.964631 -0.000000 
23.128689 2.767051 -0.000000 
23.901806 2.571271 -0.000000 
24.668907 2.378815 0.000000 
25.428809 2.191084 -0.000000 
26.180340 2.009325 -0.000000 
26.922341 1.834627 -0.000000 
27.653669 1.667906 -0.000000 
28.373195 1.509902 -0.000000 
29.079810 1.361176 -0.000000 
29.772425 1.222112 -0.000000 
30.449971 1.092928 0.000000 
31.111405 0.973682 0.000000 
31.755705 0.864287 0.000000 
32.381879 0.764527 -0.000000 
32.988961 0.674075 0.000000 
33.576015 0.592510 0.000000 
34.142136 0.519338 -0.000000 
34.686450 0.454011 0.000000 
35.208119 0.395947 -0.000000 
35.706339 0.344547 -0.000000 
36.180340 0.299209 0.000000 
36.629392 0.259346 -0.000000 
37.052803 0.224396 0.000000 
37.449920 0.193831 0.000000 
37.820130 0.167168 0.000000 
38.162863 0.143969 -0.000000 
38.477591 0.123847 0.000000 
38.763827 0.106467 0.000000 
39.021130 0.091543 -0.000000 
39.249105 0.078837 -0.000000 
39.447398 0.068154 -0.000000 
39.615706 0.059339 0.000000 
39.753767 0.052270 0.000000 
39.861369 0.046857 0.000000 
39.938347 0.043033 0.000000 
39.984581 0.040756 0.000000 
40.000000 0.040000 0.000000 
0.035158 -0.000000 0.300047 
0.050315 0.275970 0.300047 
0.096240 0.551376 0.300047 
0.172862 0.825589 0.300047 
0.280063 1.097973 0.300047 
0.417679 1.367876 0.300047 
0.585497 1.634624 0.300047 
0.783259 1.897524 0.300047 
1.010660 2.155850 0.300047 
1.267350 2.408851 0.300047 
1.552934 2.655738 0.300047 
1.866970 2.895691 0.300047 
2.208976 3.127852 0.300047 
2.578425 3.351333 0.300047 
2.974748 3.565214 0.300047 
3.397333 3.768548 0.300047 
3.845531 3.960372 0.300047 
4.318649 4.139710 0.300047 
4.815961 4.305588 0.300047 
5.336698 4.457045 0.300047 
5.880060 4.593147 0.300047 
6.445208 4.713006 0.300047 
7.031273 4.815794 0.300047 
7.637350 4.900764 0.300047 
8.262505 4.967268 0.300047 
8.905776 5.014775 0.300047 
9.566170 5.042889 0.300047 
10.242670 5.051367 0.300047 
10.934231 5.040132 0.300047 
11.639789 5.009283 0.300047 
12.358255 4.959109 0.300047 
13.088520 4.890090 0.300047 
13.829458 4.802899 0.300047 
14.579926 4.698402 0.300047 
15.338766 4.577647 0.300047 
16.104807 4.441855 0.300047 
16.876868 4.292403 0.300047 
17.653755 4.130806 0.300047 
18.434271 3.958694 0.300047 
19.217210 3.777787 0.300047 
20.001364 3.589865 0.300047 
20.785523 3.396739 0.300047 
21.568475 3.200225 0.300047 
22.349014 3.002110 0.300047 
23.125933 2.804125 0.300047 
23.898033 2.607916 0.300047 
24.664124 2.415021 0.300047 
25.423022 2.226849 0.300047 
26.173558 2.044660 0.300047 
26.914572 1.869550 0.300047 
27.644922 1.702443 0.300047 
28.363481 1.544086 0.300047 
29.069141 1.395043 0.300047 
29.760814 1.255706 0.300047 
30.437432 1.126293 0.300047 
31.097954 1.006863 0.300047 
31.741361 0.897330 0.300047 
32.366660 0.797477 0.300047 
32.972889 0.706975 0.300047 
33.559113 0.625399 0.300047 
34.124428 0.552253 0.300047 
34.667964 0.486986 0.300047 
35.188883 0.429009 0.300047 
35.686382 0.377720 0.300047 
36.159695 0.332512 0.300047 
36.608093 0.292793 0.300047 
37.030884 0.257997 0.300047 
37.427418 0.227591 0.300047 
37.797083 0.201089 0.300047 
38.139310 0.178050 0.300047 
38.453572 0.158082 0.300047 
38.739384 0.140849 0.300047 
38.996305 0.126062 0.300047 
39.223941 0.113480 0.300047 
39.421939 0.102908 0.300047 
39.589996 0.094187 0.300047 
39.727851 0.087198 0.300047 
39.835293 0.081847 0.300047 
39.912156 0.078069 0.300047 
39.958321 0.075819 0.300047 
39.973717 0.075072 0.300047 
1.241519 -0.000000 1.191071 
1.255636 0.268067 1.191071 
1.299533 0.535666 1.191071 
1.373142 0.802203 1.191071 
1.476350 1.067076 1.191071 
1.608999 1.329666 1.191071 
1.770886 1.589335 1.191071 
1.961761 1.845421 1.191071 
2.181331 2.097232 1.191071 
2.429258 2.344045 1.191071 
2.705161 2.585102 1.191071 
3.008616 2.819611 1.191071 
3.339156 3.046743 1.191071 
3.696273 3.265631 1.191071 
4.079419 3.475380 1.191071 
4.488004 3.675064 1.191071 
4.921400 3.863736 1.191071 
5.378940 4.040438 1.191071 
5.859922 4.204206 1.191071 
6.363606 4.354090 1.191071 
6.889216 4.489162 1.191071 
7.435945 4.608536 1.191071 
8.002951 4.711384 1.191071 
8.589363 4.796954 1.191071 
9.194276 4.864590 1.191071 
9.816760 4.913749 1.191071 
10.455856 4.944019 1.191071 
11.110579 4.955138 1.191071 
11.779920 4.947006 1.191071 
12.462847 4.919696 1.191071 
13.158305 4.873468 1.191071 
13.865222 4.808771 1.191071 
14.582506 4.726243 1.191071 
15.309048 4.626712 1.191071 
16.043727 4.511191 1.191071 
16.785406 4.380860 1.191071 
17.532938 4.237056 1.191071 
18.285167 4.081255 1.191071 
19.040929 3.915047 1.191071 
19.799055 3.740110 1.191071 
20.558372 3.558189 1.191071 
21.317703 3.371057 1.191071 
22.075875 3.180496 1.191071 
22.831713 2.988259 1.191071 
23.584049 2.796049 1.191071 
24.331718 2.605484 1.191071 
25.073563 2.418079 1.191071 
25.808439 2.235221 1.191071 
26.535208 2.058153 1.191071 
27.252748 1.887957 1.191071 
27.959950 1.725547 1.191071 
28.655724 1.571660 1.191071 
29.338994 1.426858 1.191071 
30.008707 1.291527 1.191071 
30.663830 1.165887 1.191071 
31.303353 1.050001 1.191071 
31.926292 0.943785 1.191071 
32.531686 0.847030 1.191071 
33.118603 0.759412 1.191071 
33.686141 0.680518 1.191071 
34.233426 0.609859 1.191071 
34.759615 0.546892 1.191071 
35.263900 0.491041 1.191071 
35.745505 0.441711 1.191071 
36.203689 0.398306 1.191071 
36.637748 0.360243 1.191071 
37.047014 0.326963 1.191071 
37.430857 0.297942 1.191071 
37.788689 0.272700 1.191071 
38.119957 0.250802 1.191071 
38.424153 0.231863 1.191071 
38.700809 0.215549 1.191071 
38.949498 0.201577 1.191071 
39.169839 0.189708 1.191071 
39.361492 0.179749 1.191071 
39.524162 0.171546 1.191071 
39.657598 0.164977 1.191071 
39.761595 0.159953 1.191071 
39.835994 0.156407 1.191071 
39.880679 0.154297 1.191071 
39.895582 0.153596 1.191071 
4.234482 0.000000 2.645998 
4.247038 0.241462 2.645998 
4.286970 0.482569 2.645998 
4.354217 0.722805 2.645998 
4.448678 0.961640 2.645998 
4.570206 1.198533 2.645998 
4.718615 1.432923 2.645998 
4.893677 1.664227 2.645998 
5.095125 1.891834 2.645998 
5.322648 2.115106 2.645998 
5.575897 2.333369 2.645998 
5.854484 2.545918 2.645998 
6.157981 2.752011 2.645998 
6.485922 2.950874 2.645998 
6.837803 3.141698 2.645998 
7.213086 3.323650 2.645998 
7.611193 3.495871 2.645998 
8.031515 3.657488 2.645998 
8.473405 3.807623 2.645998 
8.936185 3.945403 2.645998 
9.419145 4.069975 2.645998 
9.921544 4.180518 2.645998 
10.442609 4.276260 2.645998 
10.981539 4.356499 2.645998 
11.537507 4.420611 2.645998 
12.109656 4.468077 2.645998 
12.697106 4.498496 2.645998 
13.298952 4.511597 2.645998 
13.914267 4.507259 2.645998 
14.542101 4.485519 2.645998 
15.181487 4.446582 2.645998 
15.831436 4.390825 2.645998 
16.490944 4.318803 2.645998 
17.158992 4.231242 2.645998 
17.834545 4.129038 2.645998 
18.516558 4.013247 2.645998 
19.203974 3.885066 2.645998 
19.895729 3.745826 2.645998 
20.590748 3.596961 2.645998 
21.287956 3.439993 2.645998 
21.986270 3.276505 2.645998 
22.684607 3.108113 2.645998 
23.381884 2.936439 2.645998 
24.077020 2.763087 2.645998 
24.768936 2.589613 2.645998 
25.456560 2.417502 2.645998 
26.138826 2.248143 2.645998 
26.814678 2.082813 2.645998 
27.483069 1.922656 2.645998 
28.142965 1.768671 2.645998 
28.793346 1.621703 2.645998 
29.433206 1.482436 2.645998 
30.061558 1.351394 2.645998 
30.677432 1.228939 2.645998 
31.279878 1.115281 2.645998 
31.867967 1.010485 2.645998 
32.440795 0.914481 2.645998 
32.997479 0.827082 2.645998 
33.537164 0.748000 2.645998 
34.059018 0.676856 2.645998 
34.562241 0.613208 2.645998 
35.046058 0.556561 2.645998 
35.509728 0.506388 2.645998 
35.952538 0.462144 2.645998 
36.373807 0.423283 2.645998 
36.772890 0.389271 2.645998 
37.149174 0.359596 2.645998 
37.502081 0.333776 2.645998 
37.831069 0.311368 2.645998 
38.135632 0.291973 2.645998 
38.415304 0.275238 2.645998 
38.669654 0.260855 2.645998 
38.898291 0.248561 2.645998 
39.100865 0.238139 2.645998 
39.277063 0.229409 2.645998 
39.426615 0.222228 2.645998 
39.549291 0.216485 2.645998 
39.644902 0.212097 2.645998 
39.713301 0.209002 2.645998 
39.754382 0.207161 2.645998 
39.768083 0.206550 2.645998 
7.394541 0.000000 4.620622 
7.406064 0.203151 4.620622 
7.442394 0.406009 4.620622 
7.503478 0.608141 4.620622 
7.589222 0.809107 4.620622 
7.699493 1.008456 4.620622 
7.834123 1.205722 4.620622 
7.992904 1.400421 4.620622 
8.175593 1.592049 4.620622 
8.381909 1.780076 4.620622 
8.611536 1.963947 4.620622 
8.864120 2.143081 4.620622 
9.139273 2.316863 4.620622 
9.436573 2.484655 4.620622 
9.755563 2.645786 4.620622 
10.095754 2.799564 4.620622 
10.456622 2.945274 4.620622 
10.837614 3.082188 4.620622 
11.238144 3.209569 4.620622 
11.657597 3.326682 4.620622 
12.095330 3.432804 4.620622 
12.550668 3.527238 4.620622 
13.022913 3.609324 4.620622 
13.511338 3.678453 4.620622 
14.015192 3.734084 4.620622 
14.533700 3.775759 4.620622 
15.066063 3.803113 4.620622 
15.611462 3.815895 4.620622 
16.169057 3.813973 4.620622 
16.737987 3.797350 4.620622 
17.317374 3.766170 4.620622 
17.906325 3.720723 4.620622 
18.503929 3.661449 4.620622 
19.109263 3.588937 4.620622 
19.721391 3.503919 4.620622 
20.339365 3.407266 4.620622 
20.962230 3.299973 4.620622 
21.589020 3.183151 4.620622 
22.218764 3.058004 4.620622 
22.850487 2.925812 4.620622 
23.483210 2.787912 4.620622 
24.115952 2.645673 4.620622 
24.747733 2.500475 4.620622 
25.377572 2.353684 4.620622 
26.004495 2.206628 4.620622 
26.627529 2.060580 4.620622 
27.245710 1.916734 4.620622 
27.858082 1.776187 4.620622 
28.463695 1.639928 4.620622 
29.061614 1.508824 4.620622 
29.650915 1.383609 4.620622 
