VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=3078
DATAPACKING=POINT
0.000105 0.000069 0.000000 
0.015524 0.275317 0.000000 
0.061759 0.549968 -0.000000 
0.138736 0.823390 -0.000000 
0.246338 1.094938 0.000000 
0.384400 1.363957 0.000000 
0.552707 1.629771 0.000000 
0.751000 1.891680 -0.000000 
0.978975 2.148960 0.000000 
1.236278 2.400854 0.000000 
1.522515 2.646575 0.000000 
1.837242 2.885303 -0.000000 
2.179975 3.116184 0.000000 
2.550185 3.338330 0.000000 
2.947302 3.550826 0.000000 
3.370713 3.752733 -0.000000 
3.819765 3.943092 0.000000 
4.293767 4.120937 -0.000000 
4.791986 4.285303 0.000000 
5.313655 4.435238 -0.000000 
5.857970 4.569820 -0.000000 
6.424090 4.688173 -0.000000 
7.011144 4.789481 0.000000 
7.618226 4.873008 -0.000000 
8.244400 4.938119 0.000000 
8.888701 4.984295 0.000000 
9.550134 5.011152 -0.000000 
10.227680 5.018456 0.000000 
10.920295 5.006139 -0.000000 
11.626910 4.974311 -0.000000 
12.346437 4.923265 0.000000 
13.077764 4.853488 -0.000000 
13.819765 4.765656 -0.000000 
14.571296 4.660636 -0.000000 
15.331198 4.539475 -0.000000 
16.098299 4.403393 0.000000 
16.871416 4.253763 0.000000 
17.649357 4.092094 0.000000 
18.430923 3.920009 -0.000000 
19.214909 3.739218 0.000000 
20.000105 3.551492 0.000000 
20.785302 3.358633 -0.000000 
21.569287 3.162444 0.000000 
22.350853 2.964700 -0.000000 
23.128795 2.767120 -0.000000 
23.901912 2.571339 -0.000000 
24.669012 2.378884 0.000000 
25.428914 2.191153 -0.000000 
26.180445 2.009394 -0.000000 
26.922446 1.834696 -0.000000 
27.653774 1.667975 -0.000000 
28.373300 1.509971 -0.000000 
29.079915 1.361245 -0.000000 
29.772530 1.222181 -0.000000 
30.450076 1.092997 0.000000 
31.111510 0.973751 0.000000 
31.755810 0.864356 0.000000 
32.381984 0.764596 -0.000000 
32.989066 0.674144 0.000000 
33.576120 0.592579 0.000000 
34.142241 0.519407 -0.000000 
34.686555 0.454080 0.000000 
35.208225 0.396016 -0.000000 
35.706444 0.344616 -0.000000 
36.180445 0.299278 0.000000 
36.629497 0.259415 -0.000000 
37.052908 0.224465 0.000000 
37.450025 0.193900 0.000000 
37.820236 0.167237 0.000000 
38.162969 0.144038 -0.000000 
38.477696 0.123916 0.000000 
38.763932 0.106536 0.000000 
39.021236 0.091612 -0.000000 
39.249210 0.078906 -0.000000 
39.447504 0.068223 -0.000000 
39.615811 0.059408 0.000000 
39.753872 0.052339 0.000000 
39.861474 0.046926 0.000000 
39.938452 0.043102 0.000000 
39.984686 0.040825 0.000000 
40.000105 0.040069 0.000000 
0.035739 0.000381 0.300047 
0.050896 0.276351 0.300047 
0.096821 0.551756 0.300047 
0.173443 0.825970 0.300047 
0.280644 1.098354 0.300047 
0.418260 1.368256 0.300047 
0.586078 1.635005 0.300047 
0.783840 1.897904 0.300047 
1.011241 2.156231 0.300047 
1.267931 2.409232 0.300047 
1.553515 2.656119 0.300047 
1.867551 2.896071 0.300047 
2.209557 3.128233 0.300047 
2.579006 3.351714 0.300047 
2.975329 3.565594 0.300047 
3.397914 3.768929 0.300047 
3.846112 3.960753 0.300047 
4.319230 4.140091 0.300047 
4.816542 4.305969 0.300047 
5.337279 4.457425 0.300047 
5.880641 4.593528 0.300047 
6.445789 4.713386 0.300047 
7.031854 4.816174 0.300047 
7.637931 4.901145 0.300047 
8.263086 4.967649 0.300047 
8.906357 5.015156 0.300047 
9.566751 5.043270 0.300047 
10.243251 5.051748 0.300047 
10.934812 5.040512 0.300047 
11.640370 5.009663 0.300047 
12.358836 4.959489 0.300047 
13.089101 4.890470 0.300047 
13.830039 4.803280 0.300047 
14.580507 4.698783 0.300047 
15.339347 4.578028 0.300047 
16.105388 4.442235 0.300047 
16.877449 4.292783 0.300047 
17.654336 4.131187 0.300047 
18.434852 3.959075 0.300047 
19.217791 3.778168 0.300047 
20.001945 3.590245 0.300047 
20.786104 3.397120 0.300047 
21.569056 3.200606 0.300047 
22.349595 3.002491 0.300047 
23.126514 2.804505 0.300047 
23.898614 2.608296 0.300047 
24.664705 2.415402 0.300047 
25.423603 2.227230 0.300047 
26.174139 2.045041 0.300047 
26.915153 1.869930 0.300047 
27.645503 1.702824 0.300047 
28.364062 1.544466 0.300047 
29.069722 1.395424 0.300047 
29.761395 1.256087 0.300047 
30.438013 1.126673 0.300047 
31.098535 1.007244 0.300047 
31.741942 0.897711 0.300047 
32.367241 0.797858 0.300047 
32.973470 0.707355 0.300047 
33.559694 0.625780 0.300047 
34.125009 0.552634 0.300047 
34.668545 0.487366 0.300047 
35.189464 0.429390 0.300047 
35.686963 0.378101 0.300047 
36.160276 0.332892 0.300047 
36.608674 0.293174 0.300047 
37.031465 0.258377 0.300047 
37.427999 0.227972 0.300047 
37.797664 0.201470 0.300047 
38.139891 0.178430 0.300047 
38.454153 0.158463 0.300047 
38.739965 0.141230 0.300047 
38.996886 0.126442 0.300047 
39.224522 0.113861 0.300047 
39.422520 0.103288 0.300047 
39.590577 0.094568 0.300047 
39.728432 0.087579 0.300047 
39.835874 0.082228 0.300047 
39.912737 0.078450 0.300047 
39.958902 0.076199 0.300047 
39.974298 0.075452 0.300047 
1.246576 0.003313 1.191071 
1.260693 0.271381 1.191071 
1.304590 0.538979 1.191071 
1.378199 0.805516 1.191071 
1.481407 1.070389 1.191071 
1.614056 1.332979 1.191071 
1.775943 1.592649 1.191071 
1.966818 1.848734 1.191071 
2.186388 2.100545 1.191071 
2.434315 2.347358 1.191071 
2.710218 2.588415 1.191071 
3.013673 2.822925 1.191071 
3.344213 3.050056 1.191071 
3.701330 3.268944 1.191071 
4.084476 3.478693 1.191071 
4.493061 3.678377 1.191071 
4.926457 3.867049 1.191071 
5.383997 4.043751 1.191071 
5.864979 4.207519 1.191071 
6.368663 4.357403 1.191071 
6.894273 4.492475 1.191071 
7.441002 4.611849 1.191071 
8.008008 4.714697 1.191071 
8.594419 4.800267 1.191071 
9.199333 4.867903 1.191071 
9.821817 4.917062 1.191071 
10.460913 4.947332 1.191071 
11.115636 4.958451 1.191071 
11.784977 4.950319 1.191071 
12.467904 4.923009 1.191071 
13.163362 4.876781 1.191071 
13.870279 4.812084 1.191071 
14.587563 4.729556 1.191071 
15.314105 4.630026 1.191071 
16.048784 4.514504 1.191071 
16.790463 4.384173 1.191071 
17.537995 4.240369 1.191071 
18.290224 4.084568 1.191071 
19.045986 3.918360 1.191071 
19.804112 3.743424 1.191071 
20.563429 3.561502 1.191071 
21.322760 3.374370 1.191071 
22.080932 3.183809 1.191071 
22.836770 2.991573 1.191071 
23.589106 2.799362 1.191071 
24.336775 2.608797 1.191071 
25.078620 2.421392 1.191071 
25.813496 2.238534 1.191071 
26.540265 2.061466 1.191071 
27.257805 1.891271 1.191071 
27.965007 1.728860 1.191071 
28.660781 1.574973 1.191071 
29.344051 1.430171 1.191071 
30.013764 1.294840 1.191071 
30.668887 1.169200 1.191071 
31.308410 1.053314 1.191071 
31.931349 0.947098 1.191071 
32.536743 0.850343 1.191071 
33.123660 0.762726 1.191071 
33.691198 0.683831 1.191071 
34.238483 0.613172 1.191071 
34.764672 0.550205 1.191071 
35.268957 0.494354 1.191071 
35.750562 0.445024 1.191071 
36.208746 0.401619 1.191071 
36.642805 0.363556 1.191071 
37.052071 0.330276 1.191071 
37.435914 0.301255 1.191071 
37.793746 0.276013 1.191071 
38.125014 0.254115 1.191071 
38.429210 0.235176 1.191071 
38.705866 0.218862 1.191071 
38.954555 0.204890 1.191071 
39.174896 0.193021 1.191071 
39.366549 0.183063 1.191071 
39.529218 0.174859 1.191071 
39.662655 0.168291 1.191071 
